Site,Replicate,Mud,Sand,month
Baiyu,1,141.95,7074.65,July
Baiyu,2,40.08,3379.36,July
Baiyu,3,160.61,3326.37,July
Datan G1,1,399.18,4329.17,July
Datan G1,2,257.61,11277.45,July
Datan G1,3,699.68,6219.62,July
Datan G2,1,566.59,6102.42,July
Datan G2,2,488.48,2653.76,July
Datan G2,3,714.01,2780.13,July
Yongxin,1,968.41,5861.91,July
Yongxin,2,684.55,6523.31,July
Yongxin,3,786.97,11506.75,July
Yongan,1,1359.58,19177.58,July
Yongan,2,,,July
Yongan,3,834.13,5187.26,July
Baiyu,1,37.8,4199.75,August
Baiyu,2,164.44,3257.07,August
Baiyu,3,261.22,12639.92,August
Datan G1,1,,10640.39,August
Datan G1,2,218.72,9265.61,August
Datan G1,3,909.71,13117.76,August
Datan G2,1,1611.41,8894.68,August
Datan G2,2,46.56,2054.52,August
Datan G2,3,349.48,5522.05,August
Yongxin,1,843.78,7052.76,August
Yongxin,2,1484.42,12765.94,August
Yongxin,3,445.97,8905.09,August
Yongan,1,1994.08,29930.61,August
Yongan,2,139.46,11394,August
Yongan,3,1844.07,15737.48,August
Baiyu,1,136.56,2935.03,October
Baiyu,2,1122.04,3127.64,October
Baiyu,3,2229.81,15267.26,October
Datan G1,1,404.59,11774.78,October
Datan G1,2,256.82,13341.15,October
Datan G1,3,635.92,12123.31,October
Datan G2,1,878.47,13574.52,October
Datan G2,2,674.65,14617.07,October
Datan G2,3,1096.56,13203.57,October
Yongxin,1,1616.31,17839.49,October
Yongxin,2,1334.01,12225.22,October
Yongxin,3,1551.08,16701.15,October
Yongan,1,2110.57,27311.08,October
Yongan,2,1421.66,26579.36,October
Yongan,3,1492.99,28584.97,October
Baiyu,1,1974.01,7222.42,November
Baiyu,2,1920,4467.77,November
Baiyu,3,1556.18,5467.52,November
Datan G1,1,3120.51,7454.78,November
Datan G1,2,923.31,6283.82,November
Datan G1,3,1974.01,12716.43,November
Datan G2,1,1065.99,2781.15,November
Datan G2,2,918.22,2973.76,November
Datan G2,3,1059.87,4167.13,November
Yongxin,1,992.61,2138.09,November
Yongxin,2,1126.11,2723.06,November
Yongxin,3,1228.03,3246.88,November
Yongan,1,2112.61,7897.07,November
Yongan,2,1782.42,2900.38,November
Yongan,3,2111.59,2788.28,November
Baiyu,1,474.9,7083.82,December
Baiyu,2,564.59,7892.99,December
Baiyu,3,61.15,1355.41,December
Datan G1,1,603.31,10950.32,December
Datan G1,2,,,December
Datan G1,3,1236.18,18187.01,December
Datan G2,1,,18828.03,December
Datan G2,2,576.82,21149.55,December
Datan G2,3,,,December
Yongxin,1,1151.59,17516.43,December
Yongxin,2,1428.79,14457.07,December
Yongxin,3,491.21,8555.41,December
Yongan,1,,19901.15,December
Yongan,2,2383.69,23868.54,December
Yongan,3,1138.34,10848.41,December
