site,season,date,replicate,benthos,cover
DatanG2,Spring,2018.05,1,Zoantharia,0
DatanG2,Spring,2018.05,2,Zoantharia,0
DatanG2,Spring,2018.05,3,Zoantharia,0
DatanG2,Summer,2018.07,1,Zoantharia,0
DatanG2,Summer,2018.07,2,Zoantharia,0
DatanG2,Summer,2018.07,3,Zoantharia,0
DatanG2,Winter,2019.03,1,Zoantharia,0
DatanG2,Winter,2019.03,2,Zoantharia,0
DatanG2,Winter,2019.03,3,Zoantharia,0
DatanG2,Spring,2018.05,1,CCA,33.33333333
DatanG2,Spring,2018.05,2,CCA,34.88372093
DatanG2,Spring,2018.05,3,CCA,52.17391304
DatanG2,Summer,2018.07,1,CCA,65.04854369
DatanG2,Summer,2018.07,2,CCA,26.51933702
DatanG2,Summer,2018.07,3,CCA,24.48979592
DatanG2,Winter,2019.03,1,CCA,23.04147465
DatanG2,Winter,2019.03,2,CCA,25.14285714
DatanG2,Winter,2019.03,3,CCA,20.55555556
DatanG2,Spring,2018.05,1,ACA,0
DatanG2,Spring,2018.05,2,ACA,0
DatanG2,Spring,2018.05,3,ACA,0
DatanG2,Summer,2018.07,1,ACA,0
DatanG2,Summer,2018.07,2,ACA,0
DatanG2,Summer,2018.07,3,ACA,0
DatanG2,Winter,2019.03,1,ACA,0
DatanG2,Winter,2019.03,2,ACA,0
DatanG2,Winter,2019.03,3,ACA,0
DatanG2,Spring,2018.05,1,MA,0
DatanG2,Spring,2018.05,2,MA,0
DatanG2,Spring,2018.05,3,MA,0
DatanG2,Summer,2018.07,1,MA,0
DatanG2,Summer,2018.07,2,MA,0
DatanG2,Summer,2018.07,3,MA,0
DatanG2,Winter,2019.03,1,MA,0
DatanG2,Winter,2019.03,2,MA,0
DatanG2,Winter,2019.03,3,MA,0
DatanG2,Spring,2018.05,1,Turf,40.74074074
DatanG2,Spring,2018.05,2,Turf,41.86046512
DatanG2,Spring,2018.05,3,Turf,17.39130435
DatanG2,Summer,2018.07,1,Turf,0.970873786
DatanG2,Summer,2018.07,2,Turf,6.629834254
DatanG2,Summer,2018.07,3,Turf,3.06122449
DatanG2,Winter,2019.03,1,Turf,7.834101382
DatanG2,Winter,2019.03,2,Turf,4.571428571
DatanG2,Winter,2019.03,3,Turf,6.666666667
